Name of Company,Are they a subsidiary of another umbrella brand?,"If Yes, Name of Parent Brand",Sector,HQ Location (Country),Name of Chief Executive ,First Name,Last Name,Company Address,Web URL of the Company,Company Email ID,,Link of Key Documents: Supplier Code of Conduct,Link of Key Document: Migrant Worker Policy,Link of Key Document: Human Rights Policy,Link of Key Document: Code of Conduct,Link of Key Document: Modern Slavery Statement,Link of Key Document: Sustainability Report,Implementation Guidance Link,Name of the Implementation Guidance,,Does the company prohibit recruitment fees to workers? Paste only relevant sentences.,Name of Reference Document 1,Reference Document Link,Reference to fee repayment if workers are found to have paid (up to three sentences),"If yes, provide link 1",Does the Recruitment Policy Include Requirement on Employer/ Suppliers to Pay,"Reference to Employer Pay Principle, Link",Reference to Employer Pay Principle,"Reference to Dhaka Principle, Link","Reference to Confiscation of travel/ identity document. If yes, mention up to three sentences.",Name of Reference Document 2,"If yes, provide link 2",,"Name of the Sustainability Representative, if available",Title of  Sustainability Representative,Sustainaiblity Department Email Address,Sustainability Representative Address,List if Membership of trade or sustainable business association
Accor,No,,Hospitality,France,Sébastien Bazin,Sébastien,Bazin,"82, rue Henri Farman - 92130 Issy-les-Moulineaux, France",https://group.accor.com/en,charlotte.thouvard@accor.com,,https://group.accor.com/-/media/Corporate/Group/Documents/2023/04/28/Responsible_Procurement_Charter_vEN.pdf,,https://group.accor.com/en/group/our-commitments/accor-ethics-and-compliance,https://group.accor.com/-/media/Corporate/Talent/PDF-for-pages/Charte-ethique-et-RSE/ACCOR_Ethics_and_Corporate_Social_Responsibility_Charter_20_ENG.pdf,https://modernslaveryregister.gov.au/statements/file/c11493b0-f699-40b4-ac2f-780d9c2164ea/,https://group.accor.com/-/media/Corporate/Investors/Documents-de-reference/ACCOR_RI_2022_UK_vlast.pdf,,,,,,,,,,,,,,,,,Brune Poirson,Chief Sustainability Officer,,,
Ace Hardware,Yes,,Retail,United States,John Venhuizen,John,Venhuizen,"2200 Kensington Court. Oak Brook, IL 60523. USA",https://www.acehardware.com/,customerservice@acehardware.com,,,,,,,,,,,,,,,,,,,,,,,,Tyler Kesler,Environmental Program Manager,CareCenter@acehardware.com,,
Acer,No,,Electronics,Taiwan,Jason Chen,Jason,Chen,"No. 88, Section 1, Xintai 5th Road, Xizhi, New Taipei City 221, Taiwan",https://www.acer.com/,support@acer.com,,https://www.acer.com/sustainability/en/responsible-supply-chain/supply-chain-management-system/supplier-code-of-conduct,,https://www.acer.com/sustainability/uploads/files/shares/inclusive-workplace-and-society/human-rights-policy-en.pdf,https://www.acer.com/sustainability/uploads/files/shares/esg-governance/Standards_of_Business_Conduct_en.pdf,https://www.acer.com/sustainability/uploads/files/shares/responsible-supply-chain/Slavery_and_Human_Trafficking_Statement_ESG_2022.pdf,https://www.acer.com/sustainability/uploads/files/shares/sustainability-report/2022_Acer_Sustainability_Report.pdf,,,,,,,,,,,,,,,,,Lydia Wu,"General Counsel
Corporate Governance Officer",cr@acer.com,,Responsible Business Alliance
Activision,Yes,,Entertainment,United States,Bobby Kotick,Bobby,Kotick,"3100 Ocean Park Blvd, Santa Monica, CA 90405, United States",https://www.activision.com/,support@activision.com,,https://investor.activision.com/static-files/e614a235-73b3-407f-a4b4-1bff14cc6306,,,https://www.activision.com/cdn/activisionblizzard/coc/Activision-Blizzard-Code-of-Conduct-English.pdf,https://investor.activision.com/static-files/6c522f28-4291-42df-b21d-c736a284fe78,https://www.activisionblizzard.com/content/dam/atvi/activisionblizzard/ab-touchui/our-commitments/docs/2022_ESG_Report.pdf,,,,,,,,,,,,,,,,,Dan Goldenberg,"Vice President, Corporate Social Responsibility And ESG / Head Of Sustainability",esg@activision.com,,
Activision Blizzard,No,,Entertainment,United States,Bobby Kotick,Bobby,Kotick,"3100 Ocean Park Blvd, Santa Monica, CA 90405, United States",https://www.activisionblizzard.com/,pr@activisionblizzard.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adidas,No,,Apparel and Footwear,Germany,Bjørn Gulden,Bjørn,Gulden,Adi-Dassler-Strasse 1 91074 Herzogenaurach Germany,https://www.adidas.com/,corporate.press@adidas-group.com,,https://www.adidas-group.com/media/filer_public/23/b4/23b41dce-85ba-45a7-b399-28f5835d326f/adidas_workplace_standards_2017_en.pdf,https://www.adidas-group.com/media/filer_public/71/0d/710d0ab7-b4ed-4dd7-8783-e36df063face/2023_policy_on_responsible_recruitment.pdf,https://www.adidas-group.com/media/filer_public/71/ec/71ec086a-3f28-418e-882a-e2f2f8433292/adidas_human_rights_policy.pdf,https://www.adidas-group.com/media/filer_public/d9/05/d9051875-01f3-4d17-a98b-31017b9d97ed/adidas_fair_play_code_of_conduct_english.pdf,https://www.adidas-group.com/media/filer_public/64/c8/64c8d12f-d7b4-4547-a1f2-8d2945861140/adidas_policy_on_modern_slavery_2023.pdf,https://www.adidas-group.com/media/filer_public/39/e8/39e887ed-0867-4c53-b3d4-36348f43cbb1/annual_report_2022_en_secured.pdf,https://www.adidas-group.com/media/filer_public/c1/d7/c1d7c117-3a93-4c06-bf77-f91759df786e/adidas_responsible_sourcing__purchasing_policy.pdf,"Global Policy Manual
Responsible Sourcing & Purchasing Policy",,"No Fees: No recruitment fees or related costs should be charged to, or otherwise borne by, workers. A clear definition on the types of fees and costs can be found in the Responsible Recruitment section of the Guidelines on Employment Standards.",Policy on Responsible Recruitment and Fair Treatment of Migrant Workers,https://res.cloudinary.com/confirmed-web/raw/upload/v1706098726/adidas-group/sustainability/policies/2023_policy_on_responsible_recruitment_teme65.pdf,"Workers receive a timely refund of fees and costs paid to obtain or maintain their job;",https://res.cloudinary.com/confirmed-web/raw/upload/v1706098726/adidas-group/sustainability/policies/2023_policy_on_responsible_recruitment_teme65.pdf,Yes,https://res.cloudinary.com/confirmed-web/raw/upload/v1706098726/adidas-group/sustainability/policies/2023_policy_on_responsible_recruitment_teme65.pdf,"We support the Dhaka Principles for Migration with Dignity to enhance respect for the rights of migrant workers from the moment of recruitment, during employment and through to further employment or safe return, and endorse the Employer Pays Principle, that no worker should pay for their job.",https://res.cloudinary.com/confirmed-web/raw/upload/v1706098726/adidas-group/sustainability/policies/2023_policy_on_responsible_recruitment_teme65.pdf,"Workers’ identity documents such as passports, land title deeds, diplomas, employment contracts and so on should not be confiscated, destroyed or retained.",Policy on Responsible Recruitment and Fair Treatment of Migrant Workers,https://res.cloudinary.com/confirmed-web/raw/upload/v1706098726/adidas-group/sustainability/policies/2023_policy_on_responsible_recruitment_teme65.pdf,,Katja Schreiber,SVP of Sustainability,sustainability@adidas.com,,Fair Labor Association
ADM,No,,Food Processing,United States,Juan Luciano.,Juan,Luciano.,"4666 Faries Parkway Decatur, IL 62526 United States",https://www.adm.com/,imprensa@adm.com,,https://www.adm.com/globalassets/procurement/suppliers/potential-suppliers/supplierexpectations---english-2022-_10-28-22_.pdf,,https://www.adm.com/globalassets/sustainability/goals--programs/human-rights-policy/human-rights-policy-2021-update-2.pdf,https://www.adm.com/globalassets/about-adm/our-company/code-of-conduct/adm_codeofconduct_2024_english.pdf,https://www.adm.com/link/c8e77635e4ec4a46a9ca9237cae4d01f.aspx/,https://www.adm.com/globalassets/sustainability/sustainability-reports/2022-reports/adm-2022-corporate-sustainability-report_final.pdf,https://www.adm.com/globalassets/sustainability/sustainability-reports/managing-supplier-non--compliance/managing-non-compliant-suppliers_english.pdf,Managing Supplier Non-Compliance,,"Employees should not be charged fees in exchange for employment or have collateral in the form of money, identification or other personal belongings held – without workers’ consent – as a condition of employment.",Supplier Code of Conduct,https://www.adm.com/globalassets/procurement/suppliers/potential-suppliers/supplierexpectations---english-2022-_10-28-22_.pdf,,,,,,,". Employees should not be charged fees in exchange for employment or have collateral in the form of money, identification or other personal belongings held – without workers’ consent – as a condition of employment.",Supplier Code of Conduct,https://www.adm.com/globalassets/procurement/suppliers/potential-suppliers/supplierexpectations---english-2022-_10-28-22_.pdf,,Justin Murrill,Director of Corporate Responsibility ,responsibility@adm.com,,
Adobe,No,,Software,United States,Shantanu Narayen,Shantanu,Narayen,"345 Park Ave, San Jose, CA 95110",https://www.adobe.com/,adobepr@adobe.com,,https://www.adobe.com/content/dam/cc/en/corporate-responsibility/pdfs/adobe-business-partner-code-of-conduct.pdf,,https://www.adobe.com/corporate-responsibility/human-rights-policy.html,https://www.adobe.com/content/dam/cc/en/corporate-responsibility/pdfs/code-of-conduct-ext.pdf,https://www.adobe.com/content/dam/cc/en/corporate-responsibility/pdfs/adobe-slavery-and-human-trafficking-policy-statement.pdf,https://www.adobe.com/content/dam/cc/en/corporate-responsibility/pdfs/Adobe-CSR-Report-2022.pdf,,,,,,,,,,,,,,,,,Mark Heintz,Head of Corporate Sustainability,createchange@adobe.com,,
Adt Corporation,No,,Other,United States,Jim DeVries,Jim,DeVries,"1501 Yamato Rd, Boca Raton, FL 33431, United States.",https://www.adt.com/,media@adt.com,,,,,,,,,,,,,,,,,,,,,,,,Steve Avadek,Senior Director ESG & Sustainability, investorrelations@adt.com,,
Adyen,No,,Financial Services,Netherlands,Pieter van der Does,Pieter,van der Does,"Simon Carmiggeltstraat 6-50, 1011 DJ Amsterdam, Netherlands.",https://www.adyen.com/,support@adyen.com,,,,,https://www.adyen.com/dam/jcr:5c531b28-1ce8-4929-a772-c0a8e0a3584d/The%2520Adyen%2520way%2520of%2520building%2520an%2520ethical%2520business.pdf,https://modernslaveryregister.gov.au/statements/file/39361735-61e0-47de-801f-e2e4381a76c7/,https://www.adyen.com/dam/jcr:043d4851-a77f-4cac-b872-1d4ef3de846c/Adyen-Annual-Report-2021.pdf,,,,,,,,,,,,,,,,,Brian O'Malley,Head Of Sustainability,ir@adyen.com,,
Aecom,No,,Construction / Engineering,United States,Troy Rudd,Troy,Rudd,"1999 Avenue of the Stars, 29th Floor Los Angeles, CA 90067 United States",https://www.aecom.com/,general.inquiries@aecom.com,,https://aecom.com/wp-content/uploads/documents/policies/code_of_conduct/Supplier_Code_of_Conduct_EC1_001_PL4.pdf,,https://aecom.com/wp-content/uploads/documents/policies/AECOM_Human_Rights_Statement.pdf,https://aecom.com/wp-content/uploads/documents/policies/code_of_conduct/Aecom_Code_of_Conduct_ENGLISH_13.pdf,https://aecom.com/wp-content/uploads/documents/policies/AECOM_Anti_Human_Trafficking_Policy.pdf,https://investors.aecom.com/static-files/e9208465-0b1b-45e7-bc7e-c4076d474d23,https://investors.aecom.com/static-files/55b13a45-f1b2-4c06-a6f2-6173ef80a724,Social Value Policy,,"Prohibited activities include, among other things, engaging or participating in human trafficking, procuring commercial sex acts, using forced labor, denying employees access to identity or immigration documents, engaging in fraudulent or misleading recruitment practices, using third party recruiters who have not represented that they comply with local labor laws, charging recruitment fees to employees","Modern Slavery
Policy",https://aecom.com/wp-content/uploads/documents/policies/AECOM_Anti_Human_Trafficking_Policy.pdf,,,,,,,"Prohibited activities include, among other things, engaging or participating in human trafficking, procuring commercial sex acts, using forced labor, denying employees access to identity or immigration documents, engaging in fraudulent or misleading recruitment practices, using third party recruiters who have not represented that they comply with local labor laws, charging recruitment fees to employees","Modern Slavery
Policy",https://aecom.com/wp-content/uploads/documents/policies/AECOM_Anti_Human_Trafficking_Policy.pdf,,Sarah Levitt ,Chief Ethics and Compliance Officer,general.inquiries@aecom.com,,Defense Industry Initiative 
AEG Power Solutions,No,,Technology,Russia,Franck Audrain,Franck ,Audrain,"st. Novoslobodskaya, 23, office 346,
127055 Moscow",https://www.aegps.com/ru/,sales.ru@aegps.com,,https://www.aegps.com/ru/supplier-portal/quality-guidelines-for-suppliers/,,,https://www.aegps.com/en/wp-content/uploads/2023/07/CODE_OF_CONDUCT_EN__2022_.pdf,,,,,,,,,,,,,,,,,,,,,,,
AIG (American Investment Group),No,,Financial Services,United States,Peter Zaffino,Peter,Zaffino,"1 New York Plaza, New York, NY 10004, United States",https://www.aig.com/,IR@aig.com,,https://www.aig.com/content/dam/aig/america-canada/us/documents/about-us/code-of-conduct/aig-supplier-code-of-conduct-english.pdf,,https://www.aig.com/content/dam/aig/america-canada/us/documents/about-us/policy/aig-human-rights-statement.pdf,https://www.aig.com/content/dam/aig/america-canada/us/documents/about-us/code-of-conduct/aig-employee-code-of-conduct-english.pdf,https://www.aig.co.uk/content/dam/aig/emea/united-kingdom/documents/aiguk-modern-slavery-statement.pdf,https://www.aig.com/content/dam/aig/america-canada/us/documents/about-us/report/aig-esg-report_2022.pdf,,,,,,,,,,,,,,,,,"Jennifer Waldner Grant
",Chief Sustainability Officer,sustainability@aig.com,,
Airasia,Yes,Tune Group,Aviation ,Malaysia,Tony Fernandes,Tony,Fernandes,"LCC Terminal, Jalan KLIA S3, Southern Support Zone, Kuala Lumpur International Airport, 64000 Sepang, Selangor, Malaysia",https://www.airasia.com,contact@airasia.com,,https://www.capitala.com/misc/AAPROF006_Supplier_Code_of_Conduct.pdf,,,,,https://hub.optiwise.io/en/documents/71059/aav-sd-report-2022-en.pdf,,,,,,,,,,,,,,,,,Mun Ching Yap,Chief Sustainability Officer,sustainability@airasia.com,,
AirBnb,No,,Technology,California,Brian Chesky,Brian,Chesky,"888 Brannan Street San Francisco, CA 94103 United States",https://www.airbnb.com/,press-asia@airbnb.com,,,,https://s26.q4cdn.com/656283129/files/doc_downloads/governance_doc_updated/Airbnb-Human-Rights-Policy-Statement.pdf,https://s26.q4cdn.com/656283129/files/doc_downloads/governance_doc_updated/Code_of_Ethics.pdf,https://a0.muscache.com/static/uk-modern-slavery-act-statement.pdf,https://airbnb2020ipo.q4web.com/files/doc_downloads/governance_doc_updated/2023/Airbnb-SustainabilityandCommunityUpdate-2023-111623.pdf,,,,,,,,,,,,,,,,,Ameet Konkar,Head of Sustainability,,,
Airbus,No,,Aviation ,France,Guillaume Faury,Guillaume,Faury,"1 Rond-Point Emile Dewoitine 91711 Saint-Quentin-en-Yvelines Cedex, France",https://www.airbus.com/,guillaume.steuer@airbus.com,,https://www.airbus.com/sites/g/files/jlcbta136/files/2021-07/Airbus-Supplier-Code-of-Conduct.pdf,,https://www.airbus.com/sites/g/files/jlcbta136/files/2024-01/human_rights_policy_statement_january_2024_0.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2023-11/Code-of-Conduct-English-version.pdf,https://www.airbus.com/sites/g/files/jlcbta136/files/2023-05/Airbus%20SE%20Modern%20Slavery%20Statement%202022.pdf,https://sustainability-approach.airbus.com/,,,,"Suppliers must not charge employees fees, recruitment costs or deposits, directly or indirectly, as a precondition of work.",Supplier Code of Conduct,https://www.airbus.com/sites/g/files/jlcbta136/files/2021-07/Airbus-Supplier-Code-of-Conduct.pdf,,,,,,,"Suppliers should not retain any form of employee identifi cation (passports or work permits), nor destroy or deny access to such documentation, as a condition of employment unless required by applicable law",Supplier Code of Conduct,https://www.airbus.com/sites/g/files/jlcbta136/files/2021-07/Airbus-Supplier-Code-of-Conduct.pdf,,Julie Kitcher,Chief Sustainability Officer,compliance@airbus.com,,Responsible Business Alliance
